Gemüse (Eigen),Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
Artischocken,0,0,0,0,0,0,1,1,1,0,0,0
Auberginen,0,0,0,0,0,1,1,1,1,1,0,0
Blumenkohl,0,0,0,1,1,4,3,2,4,4,1,1
Bohnen,0,0,0,0,1,1,4,4,4,2,0,0
Brokkoli,0,0,0,0,1,4,4,4,4,4,2,1
Chicoree,4,4,4,3,2,2,1,1,1,2,2,4
Chinakohl,4,4,1,0,3,3,3,3,3,3,3,4
Dicke Bohnen,0,0,0,0,1,4,3,1,1,0,0,0
Eisbergsalat,0,0,0,1,2,4,4,4,4,2,1,0
Endivien,0,0,0,0,1,1,1,1,2,4,2,0
Erbsen,0,0,0,0,0,4,4,2,1,1,0,0
Feldsalat,2,1,1,1,4,2,1,1,2,4,4,4
Gemüsefenchel,0,0,0,0,1,4,4,4,4,4,1,1
Gemüsepaprika,0,0,1,1,1,1,1,1,1,1,1,0
Grünkohl,2,1,1,0,0,0,0,0,0,2,4,4
Gurken Salat-,0,0,1,2,3,4,4,4,2,1,0,0
Kohlrabi,0,0,0,1,3,4,4,4,2,1,0,0
Kopfsalat,0,1,1,2,4,3,3,3,3,3,1,1
Kürbis,0,0,0,0,0,0,1,2,4,3,1,1
Lollo Rossa,0,0,1,3,4,3,4,3,4,4,3,1
Mangold,0,0,1,1,2,2,2,2,2,1,1,0
Möhren,1,1,1,1,1,1,2,2,2,2,2,4
Poree Lauch,2,2,1,1,1,1,2,3,4,4,4,3
Radicchio,0,0,0,0,1,3,4,4,4,4,2,0
Radieschen,0,0,1,2,4,4,3,2,2,2,1,0
Rettich,1,1,1,1,2,4,4,4,4,3,2,1
Rhabarber,0,0,1,4,4,2,1,0,0,0,0,0
Rosenkohl,2,1,1,0,0,0,0,0,1,4,4,3
Rote Bete,2,3,4,1,1,1,1,1,2,3,3,3
Rotkohl,2,2,1,0,3,2,2,2,4,3,4,4
Rucola,0,1,1,2,3,4,4,4,3,3,2,1
Schwarzwurzeln,1,1,1,1,0,0,0,0,1,1,1,1
Spargel,0,0,1,2,4,3,1,0,0,0,0,0
Spinat,0,0,1,3,4,4,4,4,3,3,2,1
Spitzkohl,0,0,0,1,2,4,4,4,4,4,2,1
Stangensellerie,0,0,0,0,1,4,4,4,4,3,1,1
Tomaten,0,0,1,2,3,4,4,4,3,2,2,1
Weißkohl,3,4,4,3,3,3,2,2,4,4,4,4
Zucchini,0,0,0,0,1,2,4,3,2,1,0,0
Zwiebeln,4,3,3,3,2,1,1,4,4,4,4,4
